PropertyType,Address,Description,Bedrooms,Bathrooms,Price GBP,Agent,Tel,Latitude,Longitude,geometry
Flat,"Calderwood Street, London SE18",1 bed flat to rent,1.0,1.0,1050.0,"Marketed by Ludlow Thompson - Canada Water, SE16",020 3544 5674,51.49061,0.06379,POINT (0.06379 51.49061)
Flat,"Gervase Street, London SE15",1 bed flat to rent,1.0,1.0,1500.0,"Marketed by Ludlow Thompson - Dulwich, SE22",020 3478 3646,51.47964,-0.05765,POINT (-0.05765 51.47964)
Flat,"Muncaster Road, London SW11",3 bed flat to rent,3.0,2.0,3198.0,"Marketed by Cluttons - Chelsea, SW3",020 8115 8066,51.45916,-0.15897,POINT (-0.15897 51.45916)
Flat,"Queen Elizabeth Street, London SE1",2 bed flat to rent,2.0,2.0,3358.0,"Marketed by Cluttons - Tower Bridge, SE1",020 8115 8062,51.50119,-0.07382,POINT (-0.07382 51.50119)
Property,"Hampton Road, Chingford, London E4",3 bed property to rent,3.0,,1900.0,"Marketed by Kings Group - South Chingford, E4",020 3641 0067,51.61335,-0.01908,POINT (-0.01908 51.61335)
Flat,"Kensington Gardens Square, London W2",3 bed flat to rent,3.0,3.0,8667.0,"Marketed by Cluttons - Hyde Park, W2",020 7768 2257,51.51448,-0.19091,POINT (-0.19091 51.51448)
Flat,"Cruden Street, London N1",1 bed flat to rent,1.0,1.0,2383.0,"Marketed by Cluttons - Islington, N1",020 8115 8063,51.53583,-0.10009,POINT (-0.10009 51.53583)
Flat,"Pinewood Gardens, Teddington TW11",2 bed flat to rent,2.0,2.0,2420.0,"Marketed by Curchods - Teddington, TW11",020 8115 3145,51.43047,-0.34429,POINT (-0.34429 51.43047)
Flat,"Longfield Avenue, Wallington, London SM6",2 bed flat to rent,2.0,,1300.0,"Marketed by Neon Lock, EC1V",020 8128 5142,51.38062,-0.15567,POINT (-0.15567 51.38062)
Studio,"Rushout Avenue, Kenton, Harrow HA3",Studio to rent,1.0,1.0,575.0,"Marketed by Glance Property, N12",020 3641 8885,51.58083,-0.3193,POINT (-0.3193 51.58083)
Studio,"Lighterman Point, 3 New Village Avenue, London E14",Studio to rent,1.0,1.0,1300.0,"Marketed by Docklands Prestige Residential Limited, E14",020 3641 4510,51.51331,-0.00015,POINT (-0.00015 51.51331)
Flat,"Gladness House, 65 Lismore Boulevard, London NW9",1 bed flat to rent,1.0,,1400.0,"Marketed by Docklands Prestige Residential Limited, E14",020 3641 4510,51.59315,-0.24222,POINT (-0.24222 51.59315)
Flat,"Fortune Avenue, Edgware, Middlesex HA8",2 bed flat to rent,2.0,,1375.0,"Marketed by Grove Residential, HA8",020 3641 1478,51.60463,-0.27198,POINT (-0.27198 51.60463)
Flat,"Garratt Lane, Wandsworth, London SW17",3 bed flat to rent,3.0,,2299.0,"Marketed by Grand Estates, SW11",020 8033 5379,51.44824,-0.19005,POINT (-0.19005 51.44824)
Flat,"Cavendish Road, Sutton SM2",1 bed flat to rent,1.0,,1050.0,"Marketed by Grand Estates, SW11",020 8033 5379,51.35703,-0.18541,POINT (-0.18541 51.35703)
Flat,"Fairmount Road, Brixton, London SW2",1 bed flat to rent,1.0,,1399.0,"Marketed by Grand Estates, SW11",020 8033 5379,51.4533,-0.11964,POINT (-0.11964 51.4533)
Room,"Leabridge Road, London E10",Room to rent,1.0,2.0,600.0,"Marketed by Next Location Ltd Co Ltd, N16",020 8022 0049,51.58058,-0.00156,POINT (-0.00156 51.58058)
Flat,"Old Bridge Street, Hampton Wick, Kingston Upon Thames KT1",2 bed flat to rent,2.0,2.0,1575.0,"Marketed by Curchods - Kingston, KT1",020 8115 3142,51.41191,-0.31061,POINT (-0.31061 51.41191)
Flat,"Nestles Avenue, Hayes, Middlesex UB3",2 bed flat to rent,2.0,,1200.0,"Marketed by Simple Estate Agents, UB3",020 8166 7697,51.50116,-0.42027,POINT (-0.42027 51.50116)
Flat,"Charles Clowes Walk, London SW11",2 bed flat to rent,2.0,2.0,3705.0,"Marketed by 1st Choice Properties. London Ltd, NW6",020 8128 0611,54.87287,-1.67999,POINT (-1.67999 54.87287)
Flat,"New Providence Wharf, Canary Wharf, London E14",2 bed flat to rent,2.0,,1820.0,"Marketed by Monreal Shaw, E14",020 8022 5580,51.53391,-0.12008,POINT (-0.12008 51.53391)
End terrace house,"Dagmar Avenue, Wembley, Middlesex HA9",4 bed end terrace house to rent,4.0,,2100.0,"Marketed by Right Home Estate Agents, HA0",020 8166 5310,51.55698,-0.29063,POINT (-0.29063 51.55698)
Flat,"Wakeman Road, London NW10",2 bed flat to rent,2.0,,1798.0,"Marketed by Urban.co.uk, E1",020 8033 4414,51.53081,-0.21743,POINT (-0.21743 51.53081)
Flat,"Bays Farm Court, Longford UB7",1 bed flat to rent,1.0,,850.0,"Marketed by Charrison Davis, UB3",020 3641 8448,51.48195,-0.48713,POINT (-0.48713 51.48195)
Semi-detached house,"Cranford Lane, Harlington UB3",3 bed semi-detached house to rent,3.0,,1550.0,"Marketed by Charrison Davis, UB3",020 3641 8448,51.48774,-0.43481,POINT (-0.43481 51.48774)
Room,"Sidcup Road, Mottingham, London SE9",Room to rent,1.0,,550.0,"Marketed by Equity London, SE9",020 3463 0058,51.43935,0.04787,POINT (0.04787 51.43935)
Terraced house,"Mawson Close, Wimbledon Chase SW20",4 bed terraced house to rent,4.0,,2400.0,"Marketed by Tennison Property LLP, SW20",020 3463 2524,51.40798,-0.21457,POINT (-0.21457 51.40798)
Maisonette,"Commercial Road, Limehouse, London E14",2 bed maisonette to rent,2.0,,1950.0,"Marketed by Jack Barclay Estates, E14",020 7768 0474,51.51291,-0.02975,POINT (-0.02975 51.51291)
Flat,"Mildmay Park, Islington, London N1",2 bed flat to rent,2.0,,1950.0,"Marketed by Bryan Estates, N1",020 8033 4187,51.55026,-0.08508,POINT (-0.08508 51.55026)
Flat,"Finchely Road, London NW3",2 bed flat to rent,2.0,1.0,1581.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.5411,-0.1748,POINT (-0.1748 51.5411)
Flat,"Viaduct Gardens, London SW11",1 bed flat to rent,1.0,1.0,1950.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.55339,-0.08731,POINT (-0.08731 51.55339)
Flat,"Gore Road, London E9",1 bed flat to rent,1.0,1.0,1499.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.5364,-0.05164,POINT (-0.05164 51.5364)
Terraced house,"Cypress Grove, Hainault, Illford IG6",3 bed terraced house to rent,3.0,1.0,1675.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.60612,0.10018,POINT (0.10018 51.60612)
Flat,"Craster Road, London SW2",2 bed flat to rent,2.0,1.0,1850.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.44914,-0.11511,POINT (-0.11511 51.44914)
Flat,"Uxbridge, Uxbridge UB8",2 bed flat to rent,2.0,1.0,1700.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.53312,-0.47168,POINT (-0.47168 51.53312)
Room,"Dunkeld Road, Dagenham RM8",Room to rent,1.0,2.0,600.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.56223,0.12002,POINT (0.12002 51.56223)
Flat,"Granville Park, London SE13",2 bed flat to rent,2.0,1.0,1400.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.46679,-0.0042,POINT (-0.0042 51.46679)
Flat,"Trentham Court, London W3",1 bed flat to rent,1.0,1.0,1295.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.51614,-0.25442,POINT (-0.25442 51.51614)
Room,"Harrowdene Road, London HA0",Room to rent,1.0,3.0,650.0,"Marketed by OpenRent, EC1N",020 3542 2178,51.55826,-0.30437,POINT (-0.30437 51.55826)
Flat,"London House, 100 New Kings Road, London SW6",2 bed flat to rent,2.0,2.0,2925.0,"Marketed by Chestertons - Parsons Green, SW6",020 8115 2459,51.47234,-0.2034,POINT (-0.2034 51.47234)
Flat,"Salisbury Pavement, Dawes Road, London SW6",2 bed flat to rent,2.0,2.0,2275.0,"Marketed by Chestertons - Parsons Green, SW6",020 8115 2459,51.48073,-0.19906,POINT (-0.19906 51.48073)
Studio,"Hill Street, Mayfair, Westminster, London W1J",Studio to rent,1.0,1.0,2297.0,"Marketed by Relocate Me, N1",020 7768 0216,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Charles Clowes Walk, Nine Elms SW11",2 bed flat to rent,2.0,2.0,3705.0,"Marketed by EMD Estates International Limited, W8",020 3641 9440,51.47961,-0.13369,POINT (-0.13369 51.47961)
Flat,"Fulham Road, Chelsea, London SW3",2 bed flat to rent,2.0,,3315.0,"Marketed by Regents Residential, W1W",020 3641 4075,51.48991,-0.17603,POINT (-0.17603 51.48991)
Flat,"Hill Street, London W1J",1 bed flat to rent,1.0,,3315.0,"Marketed by Regents Residential, W1W",020 3641 4075,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Hill Street, London W1J",1 bed flat to rent,1.0,,2903.0,"Marketed by Regents Residential, W1W",020 3641 4075,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Hill Street, London W1J",1 bed flat to rent,1.0,,2925.0,"Marketed by Regents Residential, W1W",020 3641 4075,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Hill Street, London W1J",1 bed flat to rent,1.0,,3033.0,"Marketed by Regents Residential, W1W",020 3641 4075,51.50849,-0.14881,POINT (-0.14881 51.50849)
Studio,"Hill Street, Mayfair, London W1J",Studio to rent,1.0,1.0,2297.0,"Marketed by Regents Residential, W1W",020 3641 4075,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Hill Street, Mayfair, London W1J",1 bed flat to rent,1.0,,3293.0,"Marketed by Regents Residential, W1W",020 3641 4075,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Westferry Circus, London E14",2 bed flat to rent,2.0,,3640.0,"Marketed by Regents Residential, W1W",020 3641 4075,51.50618,-0.02812,POINT (-0.02812 51.50618)
Flat,"Fulham Road, Chelsea, London SW3",2 bed flat to rent,2.0,,3748.0,"Marketed by Regents Residential, W1W",020 3641 4075,51.48991,-0.17603,POINT (-0.17603 51.48991)
Flat,"Snakes Lane East, Woodford Green IG8",1 bed flat to rent,1.0,1.0,1100.0,"Marketed by DABORACONWAY, E18",020 3641 4351,51.60712,0.04145,POINT (0.04145 51.60712)
Property,"Hedgemans Road, Dagenham RM9",2 bed property to rent,2.0,1.0,1300.0,"Marketed by Balgores Dagenham, RM9",020 8033 4480,51.53997,0.1465,POINT (0.1465 51.53997)
Flat,"Hewetts Quay, 26-32 Abbey Road, Barking IG11",2 bed flat to rent,2.0,2.0,1300.0,"Marketed by Balgores Dagenham, RM9",020 8033 4480,51.53303,0.07544,POINT (0.07543999999999999 51.53303)
Mews house,"Brandon Mews, Barbican, London EC2Y",1 bed mews house to rent,1.0,1.0,2427.0,"Marketed by Savills - Clerkenwell Lettings, EC1V",020 8022 3151,51.5191,-0.09376,POINT (-0.09376 51.5191)
Flat,"Cleveland Road, South Woodford E18",2 bed flat to rent,2.0,1.0,1400.0,"Marketed by DABORACONWAY, E18",020 3641 4351,51.58891,0.02438,POINT (0.02438 51.58891)
Property,"Sheen Road, Richmond Upon Thames, Surrey TW9",3 bed property to rent,3.0,2.0,2450.0,"Marketed by Antony Roberts- Richmond Sales & Lettings, TW9",020 8115 3648,51.46234,-0.29149,POINT (-0.29149 51.46234)
Property,"Circus Apartments, London E14",2 bed property to rent,2.0,2.0,3380.0,"Marketed by Keller Williams London Bridge, SE1",020 8033 2002,51.50618,-0.02812,POINT (-0.02812 51.50618)
Flat,"Morris Road, London E14",2 bed flat to rent,2.0,1.0,1750.0,"Marketed by Keatons - Bow, E3",020 3478 3384,51.51914,-0.01459,POINT (-0.01459 51.51914)
Flat,"Cricketfield Road, London E5",3 bed flat to rent,3.0,2.0,2500.0,"Marketed by Keatons - Hackney (Mare Street), E8",020 8115 1423,51.55331,-0.05758,POINT (-0.05758 51.55331)
Property,"Circus Apartments, London E14",2 bed property to rent,2.0,1.0,3640.0,"Marketed by Keller Williams London Bridge, SE1",020 8033 2002,51.50618,-0.02812,POINT (-0.02812 51.50618)
Flat,"Charles Clowes Walk, Nine Elms SW11",2 bed flat to rent,2.0,2.0,4312.0,"Marketed by EMD Estates International Limited, W8",020 3641 9440,51.47961,-0.13369,POINT (-0.13369 51.47961)
Maisonette,"Station Passage, South Woodford E18",2 bed maisonette to rent,2.0,1.0,1300.0,"Marketed by DABORACONWAY, E18",020 3641 4351,51.59174,0.0288,POINT (0.0288 51.59174)
Flat,"Gledhow Gardens, London SW5",2 bed flat to rent,2.0,2.0,3250.0,"Marketed by Landstones, SW5",020 3641 9836,51.49106,-0.18501,POINT (-0.18501 51.49106)
Flat,"Marys Court, 4 Palgrave Gardens, London NW1",1 bed flat to rent,1.0,1.0,2167.0,"Marketed by Chestertons - St John's Wood, NW8",020 8115 2476,51.52681,-0.1651,POINT (-0.1651 51.52681)
Property,"Garrett Mansions, 287 Edgware Road, London W2",3 bed property to rent,3.0,2.0,6392.0,"Marketed by Chestertons - Hyde Park, W2",020 8115 2462,51.52111,-0.17169,POINT (-0.17169 51.52111)
Flat,"Alma Street, Kentish Town, London NW5",2 bed flat to rent,2.0,1.0,2000.0,"Marketed by Chestertons - Kentish Town, NW5",020 8115 2497,51.54746,-0.14298,POINT (-0.14298 51.54746)
Flat,"Adelaide Road, Surbiton KT6",2 bed flat to rent,2.0,,1500.0,"Marketed by Winkworth - Surbiton, KT6",020 8115 2630,51.39631,-0.30268,POINT (-0.30268 51.39631)
Property,"Poynter Road, Enfield EN1",3 bed property to rent,3.0,1.0,1800.0,"Marketed by Bairstow Eves - Enfield Lettings, EN1",020 3641 8410,51.64467,-0.06479,POINT (-0.06479 51.64467)
Flat,"King Henrys Road, Primrose Hill NW3",1 bed flat to rent,1.0,1.0,2167.0,"Marketed by John D Wood & Co. - Primrose Hill Lettings, NW1",020 3463 0490,51.54226,-0.16034,POINT (-0.16034 51.54226)
Flat,"Clayponds Lane, Brentford TW8",2 bed flat to rent,2.0,1.0,1600.0,"Marketed by John D Wood & Co. - Chiswick Lettings, W4",020 3641 4631,51.48955,-0.29421,POINT (-0.29421 51.48955)
Flat,"Bevan Way, Hornchurch RM12",2 bed flat to rent,2.0,2.0,1250.0,"Marketed by Bairstow Eves - Hornchurch Lettings, RM11",01708 629062,51.55511,0.22959,POINT (0.22959 51.55511)
Property,"Longbury Close, Orpington BR5",3 bed property to rent,3.0,1.0,1350.0,"Marketed by Andrew Reeves Countrywide - Orpington, BR6",01689 867100,51.40049,0.10471,POINT (0.10471 51.40049)
Flat,"The Ridings Malcolm Way, London E11",2 bed flat to rent,2.0,1.0,1575.0,"Marketed by Bairstow Eves - Wanstead Lettings, E11",020 3463 0306,51.58379,0.02174,POINT (0.02174 51.58379)
Flat,"11 Petersham Road, Richmond TW10",1 bed flat to rent,1.0,1.0,1500.0,"Marketed by John D Wood & Co. - Richmond Lettings, TW9",020 3589 9809,51.45747,-0.30488,POINT (-0.30488 51.45747)
Flat,"St. Barnabas Road, Woodford Green IG8",2 bed flat to rent,2.0,1.0,1400.0,"Marketed by Bairstow Eves - Woodford Green Lettings, IG8",020 3478 3365,51.60057,0.03473,POINT (0.03473 51.60057)
Flat,"101 Palace Road, Bromley BR1",2 bed flat to rent,2.0,1.0,1450.0,"Marketed by Alan De Maid - Lettings, BR1",020 3463 0433,51.40791,0.02064,POINT (0.02064 51.40791)
Flat,"3 Lambourn Grove, Kingston Upon Thames KT1",1 bed flat to rent,1.0,1.0,1175.0,"Marketed by Gascoigne Pees - Kingston Lettings, KT2",020 3463 0441,51.40276,-0.29943,POINT (-0.29943 51.40276)
Studio,"Petersham Road, Richmond TW10",Studio to rent,1.0,1.0,1050.0,"Marketed by John D Wood & Co. - Richmond Lettings, TW9",020 3589 9809,51.45442,-0.30248,POINT (-0.30248 51.45442)
Maisonette,"Radipole Road, London SW6",3 bed maisonette to rent,3.0,2.0,3748.0,"Marketed by John D Wood & Co. - Parsons Green Lettings, SW6",020 3463 0491,51.47638,-0.20546,POINT (-0.20546 51.47638)
Property,"Patrick Road, London E13",4 bed property to rent,4.0,2.0,2200.0,"Marketed by Bairstow Eves - Stratford Lettings, E15",020 3463 0579,51.525,0.03595,POINT (0.03595 51.525)
Flat,"64 St. Helens Gardens, North Kensington W10",1 bed flat to rent,1.0,1.0,1408.0,"Marketed by John D Wood & Co. - Notting Hill Lettings, W11",020 3641 2713,51.51711,-0.2174,POINT (-0.2174 51.51711)
Property,"Northweald Lane, Kingston Upon Thames KT2",4 bed property to rent,4.0,1.0,2750.0,"Marketed by Gascoigne Pees - Kingston Lettings, KT2",020 3463 0441,51.42989,-0.30899,POINT (-0.30899 51.42989)
Flat,"Ennismore Gardens, London SW7",2 bed flat to rent,2.0,2.0,4550.0,"Marketed by John D Wood & Co. - South Kensington Lettings, SW7",020 3463 0489,51.49994,-0.17075,POINT (-0.17075 51.49994)
Flat,"Bromfield Street, London N1",1 bed flat to rent,1.0,1.0,1450.0,"Marketed by Chestertons - Islington, N1",020 8115 2464,51.53507,-0.10668,POINT (-0.10668 51.53507)
Flat,"Gauging Square, London Dock E1W",1 bed flat to rent,1.0,2.0,2400.0,"Marketed by Regent Letting & Property Management Ltd, SE1",020 8033 9213,51.50447,-0.05643,POINT (-0.05643 51.50447)
Flat,"Westmark Tower, 1 Newcastle Place W2",1 bed flat to rent,1.0,1.0,2492.0,"Marketed by Regent Letting & Property Management Ltd, SE1",020 8033 9213,51.52047,-0.17227,POINT (-0.17227 51.52047)
Flat,"Cummings House, Chivers Passage SW18",3 bed flat to rent,3.0,2.0,3400.0,"Marketed by Regent Letting & Property Management Ltd, SE1",020 8033 9213,51.45318,-0.20045,POINT (-0.20045 51.45318)
Property,"Westleigh Avenue, London SW15",2 bed property to rent,2.0,1.0,2300.0,"Marketed by Winkworth - Southfields, SW18",020 3641 3367,51.45589,-0.22303,POINT (-0.22303 51.45589)
Flat,"Charles Clowes Walk, Nine Elms SW11",2 bed flat to rent,2.0,2.0,3878.0,"Marketed by EMD Estates International Limited, W8",020 3641 9440,51.47961,-0.13369,POINT (-0.13369 51.47961)
Flat,"Westwood Avenue, Harrow HA2",1 bed flat to rent,1.0,1.0,1200.0,"Marketed by Everstar Properties - Harrow, HA2",020 8022 4688,51.55914,-0.35894,POINT (-0.35894 51.55914)
Flat,"Egret Heights, Waterside Way, London N17",2 bed flat to rent,2.0,2.0,1750.0,"Marketed by Ellis & Co - Tottenham, N15",020 3478 3514,51.42722,-0.1846,POINT (-0.1846 51.42722)
Flat,"Modin Place, Uxbridge UB10",1 bed flat to rent,1.0,1.0,1250.0,"Marketed by PinnPoint, UB10",01895 754894,51.54373,-0.47013,POINT (-0.47013 51.54373)
Studio,"Hammersmith Grove, Hammersmith W6",Studio to rent,1.0,1.0,950.0,"Marketed by Ewing property Consultants, NW10",020 3641 9140,51.49839,-0.22782,POINT (-0.22782 51.49839)
Parking/garage,"Burghley Hall Close, Princes Way SW19",2 bed parking/garage to rent,2.0,1.0,1450.0,"Marketed by Winkworth - Southfields, SW18",020 3641 3367,51.44654,-0.21631,POINT (-0.21631 51.44654)
Flat,"Tillermans Court, Grenan Square, Greenford UB6",1 bed flat to rent,1.0,,1536.0,"Marketed by Savills - New Homes Lettings, W1G",020 8022 1905,51.5486,-0.34197,POINT (-0.34197 51.5486)
Flat,"Elm Park Road, Pinner HA5",2 bed flat to rent,2.0,2.0,1450.0,"Marketed by Gibbs Gillespie Lettings - Pinner, HA5",020 3641 6091,51.59836,-0.39305,POINT (-0.39305 51.59836)
Flat,"High Mead, Harrow, Middlesex HA1",2 bed flat to rent,2.0,1.0,1250.0,"Marketed by Gibbs Gillespie - Harrow, HA5",020 3641 6066,51.58677,-0.33456,POINT (-0.33456 51.58677)
Flat,"Western Gateway, London E16",1 bed flat to rent,1.0,1.0,1500.0,"Marketed by Lionsgate Property, SE1",020 8115 0846,51.50889,0.02375,POINT (0.02375 51.50889)
Flat,"Marsh Wall, London E14",1 bed flat to rent,1.0,1.0,2400.0,"Marketed by Lionsgate Property, SE1",020 8115 0846,51.50302,-0.02664,POINT (-0.02664 51.50302)
Flat,"Blythe Hill Place, Brockley Park SE23",2 bed flat to rent,2.0,1.0,1350.0,"Marketed by Leaders - Forest Hill, SE23",020 8166 1783,51.44466,-0.04053,POINT (-0.04053 51.44466)
Flat,"Norbiton Hall, London Road, Kingston Upon Thames KT2",2 bed flat to rent,2.0,1.0,1300.0,"Marketed by Leaders - Kingston, KT1",020 3478 3356,51.41251,-0.28901,POINT (-0.28901 51.41251)
Flat,"Elsinore Road, London SE23",2 bed flat to rent,2.0,1.0,1350.0,"Marketed by Leaders - Forest Hill, SE23",020 8166 1783,51.44102,-0.0397,POINT (-0.0397 51.44102)
Flat,"Duncombe Hill, Forest Hill SE23",2 bed flat to rent,2.0,1.0,1400.0,"Marketed by Leaders - Forest Hill, SE23",020 8166 1783,51.44716,-0.04086,POINT (-0.04086 51.44716)
Studio,"Uxbridge Road, Shepherds Bush W12",Studio to rent,1.0,1.0,900.0,"Marketed by Ewing property Consultants, NW10",020 3641 9140,51.50512,-0.22441,POINT (-0.22441 51.50512)
Flat,"Central Avenue, London SW6",1 bed flat to rent,1.0,1.0,2167.0,"Marketed by Chestertons - Parsons Green, SW6",020 8115 2459,51.46676,-0.18701,POINT (-0.18701 51.46676)
Flat,"Hill Street, London W1J",1 bed flat to rent,1.0,1.0,3033.0,"Marketed by London House, W1G",020 8128 0675,51.50849,-0.14881,POINT (-0.14881 51.50849)
Flat,"Hill Street, London W1J",1 bed flat to rent,1.0,1.0,3293.0,"Marketed by London House, W1G",020 8128 0675,51.50849,-0.14881,POINT (-0.14881 51.50849)
Town house,"Rainsborough Square, London SW6",5 bed town house to rent,5.0,6.0,,"Marketed by Keller Williams Prime Properties, W1H",020 8022 0282,51.48978,-0.03775,POINT (-0.03775 51.48978)
Flat,"Westwood Avenue, Harrow HA2",2 bed flat to rent,2.0,1.0,1300.0,"Marketed by Everstar Properties - Harrow, HA2",020 8022 4688,51.55914,-0.35894,POINT (-0.35894 51.55914)
Semi-detached house,"Ellement Close, Pinner HA5",3 bed semi-detached house to rent,3.0,1.0,1750.0,"Marketed by Gibbs Gillespie Lettings - Pinner, HA5",020 3641 6091,51.58665,-0.38552,POINT (-0.38552 51.58665)
Maisonette,"Grosvenor Road, West Wickham BR4",1 bed maisonette to rent,1.0,1.0,1100.0,"Marketed by Leaders - Beckenham, BR3",020 8166 7414,51.37664,-0.02095,POINT (-0.02095 51.37664)
Detached house,"Bramshaw Rise, New Malden KT3",4 bed detached house to rent,4.0,2.0,2500.0,"Marketed by Leaders - Kingston, KT1",020 3478 3356,51.39141,-0.25537,POINT (-0.25537 51.39141)
Maisonette,"Waterloo Road, Uxbridge, Middlesex UB8",1 bed maisonette to rent,1.0,1.0,975.0,"Marketed by Gibbs Gillespie - Uxbridge, UB8",01895 647043,51.53875,-0.48746,POINT (-0.48746 51.53875)
Semi-detached house,"Vincent Gardens, London NW2",3 bed semi-detached house to rent,3.0,,2400.0,"Marketed by Hoopers Estate Agents, NW10",020 8166 7254,51.56122,-0.24329,POINT (-0.24329 51.56122)
Semi-detached house,"Manor Drive, Wembley HA9",3 bed semi-detached house to rent,3.0,,2400.0,"Marketed by Hoopers Estate Agents, NW10",020 8166 7254,51.55781,-0.28705,POINT (-0.28705 51.55781)
Flat,"Griffiths Road, London SW19",2 bed flat to rent,2.0,1.0,1350.0,"Marketed by Winchester White, SW19",020 3463 0366,51.41867,-0.19523,POINT (-0.19523 51.41867)
Flat,"Worple Road, London SW19",2 bed flat to rent,2.0,2.0,4750.0,"Marketed by Winchester White, SW19",020 3463 0366,51.41539,-0.21906,POINT (-0.21906 51.41539)
Room,"Carnforth Close, West Ewell, Epsom KT19",Room to rent,1.0,,600.0,"Marketed by Jackson Noon, KT19",020 8022 6053,51.36179,-0.28274,POINT (-0.28274 51.36179)
Flat,"41 Millharbour, Canary Wharf, London, UK E14",1 bed flat to rent,1.0,,1450.0,"Marketed by Vanet Property Asset Management - Canary Wharf, E14",020 3463 2726,51.4977,-0.01858,POINT (-0.01858 51.4977)
Flat,"Butler House, 6 Dixon Butler Mews, London W9",1 bed flat to rent,1.0,1.0,1885.0,"Marketed by Winkworth - North Kensington, W10",020 8115 1361,51.61883,-0.06261,POINT (-0.06261 51.61883)
Flat,"Pemberton Gardens, London N19",2 bed flat to rent,2.0,1.0,1625.0,"Marketed by Winkworth - Kentish Town, NW5",020 8115 4640,51.56209,-0.13401,POINT (-0.13401 51.56209)
Flat,"Lambrook Terrace, London SW6",2 bed flat to rent,2.0,1.0,2500.0,"Marketed by Chestertons - Fulham Road, SW6",020 8115 2454,51.47709,-0.21388,POINT (-0.21388 51.47709)
Flat,"Wheatsheaf Close, Northolt, Middlesex UB5",1 bed flat to rent,1.0,,1050.0,"Marketed by Lawrence Rand - Ruislip, HA4",020 8022 7530,51.55332,-0.38177,POINT (-0.38177 51.55332)
Flat,"Love Lane, Woolwich Arsenal, London SE18",1 bed flat to rent,1.0,1.0,1300.0,"Marketed by Savills - Canary Wharf Lettings, E14",020 8022 3270,51.48883,0.06598,POINT (0.06598 51.48883)
Flat,"Gledhow Gardens, South Kensington, London SW5",2 bed flat to rent,2.0,2.0,3250.0,"Marketed by Chestertons - South Kensington, SW7",020 8115 2474,51.4922,-0.18336,POINT (-0.18336 51.4922)
Flat,"Tangerine House, 119 Weston Street, London Bridge SE1",2 bed flat to rent,2.0,,2500.0,"Marketed by Williams Lynch, SE1",020 8115 1609,51.50037,-0.0854,POINT (-0.0854 51.50037)
